extract,country,city,left,bottom,right,top,id
afghanistan,Afghanistan,,60.403889,29.288333,74.989862,38.5899217,cbbb9c2335db283c7c06d8fb1ae404de
albania,Albania,,19.0246095,39.5448625,21.1574335,42.7611669,b75a95d9bc140e4743c2bfb19159e865
algeria,Algeria,,-8.7689089,18.868147,12.097337,37.3962055,632cf329385764453b20818c82e0b909
andorra,Andorra,,1.3135781,42.3288238,1.8863837,42.7559357,6ea90bd00c5b0111b5c5bd77e1a01be7
angola,Angola,,11.3609793,-18.1389449,24.18212,-4.2888889,feaa4637379779b552db065719280513
anguilla,Anguilla,,-63.7391991,17.9609378,-62.6125448,18.8951194,6c49a870affe1ef1f62b19f4f84a2b27
argentina,Argentina,,-73.6603073,-55.285076,-53.5374514,-21.6811679,e296dd2078f67b814174b9d879f28478
armenia,Armenia,,43.3471395,38.7404775,46.7333087,41.400712,3872c8c2d146b03bc4a162268c8f288a
australia,Australia,,112.2363,-44.3945,155.2172,-9.0882,ca9dc854082ec9252fe338a3531428b0
austria,Austria,,9.4307487,46.2722761,17.260776,49.1205264,94b17bc136c66d4e9c605db83bbe4752
azerbaijan,Azerbaijan,,44.6633701,38.2929551,51.1090302,42.0502947,f8197cbf963780cbe30e08a095478dfe
bahrain,Bahrain,,50.1697989,25.435,51.0233693,26.7872444,21f8ad4f7652ab39a53373012d432c03
bangladesh,Bangladesh,,87.9075306,20.2756582,92.7804979,26.7382534,8571f66528a5cc8fa06249abd16cb2c2
barbados,Barbados,,-59.9562114,12.745,-59.1147174,13.635,4fee368efa7638dd46086659e5387bc2
anguilla,Belarus,,23.0783386,51.1575982,32.8627809,56.2722235,e9fece9152f42d45c2442ce33bcb0215
belgium,Belgium,,2.2889137,49.3969821,6.508097,51.6516667,73ba2411007c63113da52bcf042c0ea1
belize,Belize,,-89.3261456,15.7857286,-87.2098493,18.596001,7bb7ce890ce94e3cb27de5aab13585b9
benin,Benin,,0.676667,5.9398696,3.943343,12.5065612,a7ae4249a4909b8235092dd1fe7a71c7
bermuda,Bermuda,,-65.2232221,31.9469651,-64.3109841,32.6913693,48811f6277462e1a13af4c6d568cbcb0
bhutan,Bhutan,,88.6464724,26.602016,92.2252321,28.346987,2e94d2b3fdd80b2dc7cd0c540c034fc5
bolivia,Bolivia,,-69.7450072,-23.0005473,-57.3529999,-9.5689437,f1fe9c7ba83f8b5f9a144b4faf05228e
