extract,id,country,city,left,bottom,right,top
udine_italy,c136274683dc8e49497e4c0e921dc566,Italy,Udine,13.184,46.001,13.295,46.118
gaborone_botswana,8a114a9db70036bf0874388c81e78338,Botswana,Gaborone,25.757,-24.728,26.054,-24.488
annaba_algeria,3ab83a408a6d765921636d290790ac1a,Algeria,Annaba,7.695,36.866,7.793,36.97
lilongwe_malawi,5fd14a1302e72edcb7af5a964fec52fe,Malawi,Lilongwe,33.652,-14.092,33.906,-13.86
luanda_angola,dfc3093eb17d69c350f96918888edd6a,Angola,Luanda,13.086,-9.089,13.5,-8.729
alexandria_egypt,3deebbd63f79ff307197f8f2ef1fd463,Egypt,Alexandria,29.689,31.024,30.295,31.432
harare_zimbabwe,323b4188866f985e71aecde5bef0daf6,Zimbabwe,Harare,30.701,-18.161,31.377,-17.508
dar-es-salaam_tanzania,70cc946286b2de4a8eff1e8f0f56a8cb,Tanzania,Dar Es Salaam,38.894,-7.12,39.661,-6.502
kano_nigeria,e878be52c21762d888fdd3d019b36eb3,Nigeria,Kano,8.428,11.919,8.625,12.082
tunis_tunisia,ea7b408796950f324e7381a8b99c0aee,Tunisia,Tunis,9.978,36.659,10.493,37.008
victoria_seychelles,b89471376631bae29b9793cea04db1f7,Seychelles,Victoria,55.191,-4.823,56,-4.206
chinhoyi_zimbabwe,cbce18edbd48ed0a0743c17445763796,Zimbabwe,Chinhoyi,-7.737,33.487,-7.456,33.652
lome_togo,e3bf48bdf26ec3c0d3f6e7bbd03a619c,Togo,Lome,1.064,6.083,1.411,6.298
ouagadougou_burkina-faso,042c38375832b4ac4be582f7a952544b,Burkina Faso,Ouagadougou,-1.689,12.256,-1.397,12.489
tindouf_algeria,3825d9d408af8613686c0fa082bf0d01,Algeria,Tindouf,-8.667,25.569,-3.98,28.923
oran_algeria,5e03169f6332516c75c1a93a7cfa79b1,Algeria,Oran,-0.73,35.645,-0.553,35.77
dakar_senegal,4783b12026ce606214a49ec01dbd7889,Senegal,Dakar,-17.535,14.641,-17.216,14.863
niamey_niger,8bda3010204f1621dfb789d7c7a51527,Niger,Niamey,1.979,13.404,2.234,13.605
mocuba_mozambique,2c66f4d634f8ff3dd509f5d401ddf8d2,Mozambique,Mocuba,35.824,-17.45,37.664,-16.167
conakry_guinea,9778944f46ddc810b2393e410ab7eba3,Guinea,Conakry,30.156,-17.344,30.222,-17.343
